1_year_treasury_bill,10_year_treasury_constant_maturity,time_period,federal_funds
1.18,2.24,2017-08-09,1.16
1.21,2.29,2017-08-08,1.16
1.19,2.26,2017-08-07,1.16
,,2017-08-06,1.16
,,2017-08-05,1.16
1.2,2.27,2017-08-04,1.16
1.19,2.24,2017-08-03,1.16
1.21,2.27,2017-08-02,1.16
1.19,2.26,2017-08-01,1.16
1.2,2.3,2017-07-31,1.07
,,2017-07-30,1.16
,,2017-07-29,1.16
1.19,2.3,2017-07-28,1.16
1.19,2.32,2017-07-27,1.16
1.2,2.29,2017-07-26,1.16
1.21,2.33,2017-07-25,1.16
1.2,2.26,2017-07-24,1.16
,,2017-07-23,1.16
,,2017-07-22,1.16
1.19,2.24,2017-07-21,1.16
1.19,2.27,2017-07-20,1.16
1.2,2.27,2017-07-19,1.16
1.16,2.27,2017-07-18,1.16
1.18,2.31,2017-07-17,1.16
,,2017-07-16,1.16
,,2017-07-15,1.16
1.18,2.33,2017-07-14,1.16
1.19,2.35,2017-07-13,1.16
1.18,2.33,2017-07-12,1.16
1.17,2.37,2017-07-11,1.16
1.19,2.38,2017-07-10,1.16
,,2017-07-09,1.16
,,2017-07-08,1.16
1.19,2.39,2017-07-07,1.16
1.2,2.37,2017-07-06,1.16
1.21,2.33,2017-07-05,1.16
-9999.0,-9999.0,2017-07-04,1.16
1.21,2.35,2017-07-03,1.16
,,2017-07-02,1.06
,,2017-07-01,1.06
1.21,2.31,2017-06-30,1.06
1.2,2.27,2017-06-29,1.16
1.18,2.22,2017-06-28,1.16
1.19,2.21,2017-06-27,1.16
1.17,2.14,2017-06-26,1.16
,,2017-06-25,1.16
,,2017-06-24,1.16
1.18,2.15,2017-06-23,1.16
1.19,2.15,2017-06-22,1.16
1.19,2.16,2017-06-21,1.16
1.19,2.16,2017-06-20,1.16
1.18,2.19,2017-06-19,1.16
,,2017-06-18,1.16
,,2017-06-17,1.16
1.18,2.16,2017-06-16,1.16
1.18,2.16,2017-06-15,1.16
1.17,2.15,2017-06-14,0.91
1.18,2.21,2017-06-13,0.91
1.16,2.21,2017-06-12,0.91
,,2017-06-11,0.91
,,2017-06-10,0.91
1.17,2.21,2017-06-09,0.91
1.16,2.19,2017-06-08,0.91
1.14,2.18,2017-06-07,0.91
1.13,2.14,2017-06-06,0.91
1.13,2.18,2017-06-05,0.91
,,2017-06-04,0.91
,,2017-06-03,0.91
1.13,2.15,2017-06-02,0.91
1.13,2.21,2017-06-01,0.91
1.14,2.21,2017-05-31,0.83
1.13,2.21,2017-05-30,0.91
-9999.0,-9999.0,2017-05-29,0.91
